ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
25/01/2011;31/12/2011;Assoc.de Grupo de Folias de Reis  de Nova Friburgo;7500;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DA JORNADA DE ENCONTRO DE FOLIAS DE REIS. COM PARTICIPAÇÕES DE 22 FOLIAS DE REIS LOCAIS.
18/03/2011;31/12/2011;ASSOCIACAO PESTALOZZI DE FRIBURGO;73835.71; O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO ESPECIALIZADO PARA ALUNOS COM DEFICIÊNCIA E NECESSIDADES EDUCACIONAIS ESPECIAIS PROVENIENTES DA REDE PÚBLICA MUNICIPAL DE ENSINO.
18/03/2011;31/12/2011;SOCIEDADE MUSICAL BENEF. EUTERPE FRIBURGUENSE;84000;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO DOS OBJETIVOS E METAS A TÍTULO DE SUBVENÇÃO COM TODAS AS ETAPAS E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS DESCRITOS NO PLANO DE TRABALHO.
17/03/2011;31/12/2011;SOCIEDADE MUSICAL BENEFIC. CAMPESINA FRIBURGUENSE;84000;ATENDIMENTO DOS OBJETIVOS E METAS A TÍTULO DE SUBVENÇÃO COM TODAS AS ETAPAS E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS.
18/03/2011;31/12/2011;SOCIEDADE MUSICAL EUTERPE LUMIARENSE;15000;REVITALIZAÇÃO E REESTRUTURAÇÃO DA CONVENIADA COM CAPACITAÇÃO PROFISSIONAL. REVITALIZAÇÃO. APRESENTAÇÃO DA BANDA E OUTRAS.
18/03/2011;31/12/2011;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;148332.5;O  CONVÊNIO TEM POR OBJETO O ATENDIMENTO A PESSOA PORTADORA DE DEFICIENCIA.
18/03/2011;31/12/2011;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;178044.25;O PRESENTE CONVÊNIO TEM POR OBJETO REPASSE DE RECURSOS PARA ATENDIMENTO DO PLANO DE TRABALHO - ATENDIMENTO ESPECIALIZADO AO PORTADOR DE DEFICIÊNCIA.
18/03/2011;31/12/2011;INSTITUTO BELGICA-NOVA FRIBURGO;126000;O PRESENTE CONVÊNIO TEM O OBJETO A PROMOÇÃO DA EDUCAÇÃO DO CAMPO ATRAVÉS DA PEDAGOGIA DE ALTERNÂNCIA.
15/03/2011;31/12/2011;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;38937.6;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO DDE 400 CRIANÇAS E SEUS FAMILIARES A TÍTULO DE SUBVENÇÃO COM TODOS AS ETAPAS E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS.
01/04/2011;31/12/2011;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;20454.72;CONVÊNIO QUE ENTRE SI CELEBRAN O MUNICÍPIO DE NOVA FRIBURGO E A ASSOCIAÇÃO FRIBURGUENSE DE AMIGOS E PAIS DO EDUCANDO - AFAPE - O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO A PESSOA PORTADORA DE DEFICIÊNCIA A TÍTULO DE SUBVENÇÃO.
07/04/2011;31/12/2011;ACAO SOCIAL ANCHIETA - ASA;60020;CONVÊNIO QUE ENTRE SI CELEBRAM O MUNICÍPIO DE NOVA FRIBURGO E AÇÃO SOCIAL ANCHIETA - ASA. O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO GRATUITO A 120 CRIANÇAS CARENTES NA FAIXA ETÁRIA DE 00 A 05 ANOS.
01/04/2011;31/12/2011;ASSOCIAÇÃO DA MULHER MASTECTOMIZADA;25000;CONVÊNIO QUE ENTRE SI CELEBRARAM O MUNICÍPIO DE NOVA FRIBURGO E ASSOCIAÇÃO DA MULHER MASTECTOMIZADA - AMMA. O PRESENTE CONVÊNIO TEM POR OBJETO A MANUTENÇÃO EOPERACIONALIZAÇÃO.
01/04/2011;31/12/2011;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;14932.08;CONVÊNIO QUE ENTRE SI CELEBRAM O MUNICÍPIO DE NOVA FRIBURGO E A ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE. O PRESENTE CONVÊNIO TEM POR OBJETO REPASSE DE RECURSOS PARA ATENDIMENTO  ESPECIALIZADO AO PORTADOR DE DEFICIÊNCIA  A PARTIR DO RECEM NATO
01/04/2011;31/12/2011;CRECHE COLMEIA DO SENHOR;310000;
02/05/2011;31/12/2011;LAR ABRIGO AMOR A JESUS;80000;O PRESENTE CONVÊNIO TEM POR OBJETO O APRIMORAMENTO E QUALIFICAÇÃO DOS SERVIÇOS PRESTADOS AOS 78 ABRIGADOS A TÍTULO DE SUBVENÇÃO. COM TODAS AS ETAPAS E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS.
02/05/2011;31/12/2011;CLUBE DOS AMIGOS DE NOVA FRIBURGO - CANF;1075.2;CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DAS ATIVIDADES - CASA LAR REPÚBLICA RENASCER.
06/07/2011;31/12/2011;GRUPO DE PROMOCAO HUMANA - GPH;228908.16;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO GRATUITO A 75 CRIANÇAS CARENTES NA FAIXA ETÁRIA DDE 01 A 06 ANOS.
11/08/2011;31/12/2011;ASSOCIAÇÃO ESPORTIVA DOS CLUBES DE FUTEBOL OLARIA CONEGO E CASCATINHA -AESPORT;10000;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO DOS OBJETIVOS E METAS A TÍTULO DE SUBVENÇÃO COM TODOS AS  E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS.
09/09/2011;31/12/2011;CLUBE DOS AMIGOS DE NOVA FRIBURGO - CANF;30000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DAS ATIVIDADES CASA - LAR REPUBLICA RENASCER.
09/12/2011;31/12/2012;ASSOCIAÇÃO DOS APOSENTADOS E PENS.DE NOVA FRIBURGO;18000;REALIZAÇÃO DE EVENTOS CULTURAIS PARA OS ASSOCIADOS. CONFORME O DISPOSTO DO PLANO DE TRABALHO DE FLS. 03/04 DO PROCESSO ADMINISTRATIVO N° 12918/11.
23/12/2011;22/01/2012;Assoc.de Grupo de Folias de Reis  de Nova Friburgo;7500;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DA JORNADA DE ENCONTRO DE FOLIAS DE REIS. COM A PARTICIPAÇÃO DE 22 FOLIAS DE REIS LOCAIS.
